Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
edf2d260-9a0b-7668-ed7b-259b11812e09,1993-02-25,,999-12-5832,S99992311,X89845435X,Ms.,Man114,Nakesha793,Barrows492,,,S,white,nonhispanic,F,Brockton  Massachusetts  US,516 Bednar Mill,Pepperell,Massachusetts,Middlesex County,25017,01463,42.6289664114946,-71.64687703589294,212398.66,281284.26,148883
6f2973d9-7773-34eb-3a71-a52f287fe42c,2009-08-31,,999-98-8229,,,,Nicholas495,Angelo118,Gleichner915,,,,white,nonhispanic,M,Franklin  Massachusetts  US,859 Rowe Landing,Braintree,Massachusetts,Norfolk County,25021,02184,42.16791384171266,-71.01229449649968,45705.51,860.38,141928
64a0ba30-3b8a-2c31-851b-1102c0c7f9f7,1972-02-12,,999-16-9376,S99975223,X59149624X,Mr.,Stanley702,Timothy142,Effertz744,,,M,white,nonhispanic,M,Haverhill  Massachusetts  US,457 Feil Knoll,Norton,Massachusetts,Bristol County,,00000,41.980049721464695,-71.18064072513423,186929.53,581038.15,145669
96f92386-9454-2b53-655e-6d6f05d4bd58,2008-09-12,,999-77-1897,S99920956,,,Derick144,Earl438,Crooks415,,,,white,nonhispanic,M,Brockton  Massachusetts  US,652 Windler Flat,Tyngsborough,Massachusetts,Middlesex County,,00000,42.71187448381117,-71.46280472984205,26627.69,26345.96,179284
3061298e-7645-88b5-5ec8-35026a6abaf1,2004-04-21,,999-34-2486,S99936988,X59759274X,Mr.,Jack927,Winfred745,Hessel84,,,,black,nonhispanic,M,Springfield  Massachusetts  US,691 Romaguera Loaf,Newton,Massachusetts,Middlesex County,25017,02472,42.313602990463764,-71.19651844104702,29275.97,747052.40,45926
1165246e-1413-ae86-80b6-8762fda9cdb5,1979-01-07,,999-30-7101,S99933674,X85143377X,Mrs.,Corine538,Tasha327,Ledner144,,Cruickshank494,M,white,nonhispanic,F,Holbrook  Massachusetts  US,240 Dicki Landing,Norfolk,Massachusetts,Norfolk County,,00000,42.159135242223094,-71.31065212851102,211692.26,342202.59,168746
8a47af1c-1473-972e-d546-e343ce406498,1956-01-17,,999-27-2597,S99973040,X4497729X,Mr.,Mervin111,Carmine137,Bradtke547,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,299 Block Byway Suite 68,Franklin,Massachusetts,Norfolk County,25021,02038,42.034990872297,-71.41902740860276,158108.01,51410.04,160226
04bdf784-d292-2362-940a-22c7b4670801,1977-04-07,,999-90-9165,S99936470,X60360272X,Mr.,Eduardo902,Elton404,Herzog843,,,M,asian,nonhispanic,M,Worcester  Massachusetts  US,455 Schultz Tunnel Unit 7,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.4200955316054,-73.31006531621986,22152.18,227498.46,5736
d552bc66-3eed-9e16-c327-bb8ad5fc8f22,1971-08-08,1995-04-01,999-99-9302,S99949574,X18066340X,Ms.,Sue491,Karma832,Kunde533,,,,asian,nonhispanic,F,Concord  Massachusetts  US,336 Dickens Center Apt 46,Somerville,Massachusetts,Middlesex County,25017,02144,42.39725745292063,-71.05816839397015,213873.50,3436.14,99953
519b2f54-73d6-d05c-979e-4c81980a35b6,1986-01-15,,999-37-5571,S99935297,X51045526X,Mrs.,Cassaundra447,Tamatha836,Mohr916,,Kutch271,M,white,nonhispanic,F,Grafton  Massachusetts  US,293 Willms Gardens Apt 95,Fitchburg,Massachusetts,Worcester County,25027,01420,42.60214795863132,-71.84174379791911,243099.80,563842.90,60349
37e8bf3b-c1f5-4cd9-8f36-df1a9686ddc1,1978-10-02,,999-92-6611,S99962916,X84005033X,Mr.,Edwin773,Charley358,Kerluke267,,,M,white,nonhispanic,M,Boston  Massachusetts  US,976 Graham Brook Apt 39,Cambridge,Massachusetts,Middlesex County,25017,02139,42.415094025475916,-71.10059029455262,102370.76,35403.71,42854
e4d79ec8-bb2f-b4d3-f549-52f78695eb20,2000-09-25,,999-98-9274,S99914336,X38001857X,Mr.,Derick144,Anibal473,Rath779,,,,asian,nonhispanic,M,Cantho  Cần Thơ  VN,1091 Reichel Harbor,Boston,Massachusetts,Suffolk County,25025,02135,42.38322882308803,-71.07895531052988,96546.11,32316.40,134868
32cc7738-283b-1bcb-673c-95e6f2e08243,1983-05-19,,999-23-9999,S99922124,X12246047X,Mrs.,Débora815,,Sandoval902,,Leyva523,M,white,hispanic,F,Santo Domingo  National District  DO,896 Becker Well,Springfield,Massachusetts,Hampden County,25013,01103,42.10328967762337,-72.51772019493251,126752.55,330530.09,24137
5441295d-d5de-6eca-2cb3-8ac957f57184,1971-08-08,,999-99-6310,S99922713,X81197866X,Mrs.,Julian715,Kathrine376,Hickle134,,Robel940,M,asian,nonhispanic,F,Woburn  Massachusetts  US,549 Rohan Crossing Unit 34,Somerville,Massachusetts,Middlesex County,25017,02138,42.42545695206652,-71.11193215716743,921010.79,522635.96,99953
f22b8da6-2fc7-3e44-c67e-5dfcdc95b328,1956-01-18,,999-75-3270,S99915727,X65307879X,Ms.,Rena430,Christopher407,Jacobi462,,,S,black,nonhispanic,F,Southborough  Massachusetts  US,315 Harber Rest,Boston,Massachusetts,Suffolk County,25025,02210,42.35538804529176,-71.1101337766191,452813.49,825948.05,121948
e02da8c5-f570-012d-a26d-9c9bda60e4b4,1966-11-04,,999-70-4697,S99961037,X72416912X,Mr.,Sal878,Mickey576,Rippin620,,,M,black,nonhispanic,M,Natick  Massachusetts  US,430 Rosenbaum Throughway,Westford,Massachusetts,Middlesex County,,00000,42.55139763561282,-71.44862728162754,171496.01,18662.04,73430
d0e02a1c-d2dd-136a-b1fb-5d29fc4aa89b,1946-12-04,2004-03-04,999-39-7314,S99953988,X27246497X,Mr.,Stanton715,Moshe758,Beier427,,,S,white,nonhispanic,M,Malden  Massachusetts  US,814 Cartwright Stravenue Unit 40,Mashpee,Massachusetts,Barnstable County,,00000,41.599004963745294,-70.44555997692248,96792.43,69629.23,94
21b06346-d3a6-7426-f4c4-88f2efb60bed,1992-08-31,,999-89-7711,S99997317,X68407023X,Mrs.,Miss492,Tish18,Renner328,PhD,Sporer811,M,black,nonhispanic,F,West Springfield  Massachusetts  US,970 Collier Village Suite 98,Newton,Massachusetts,Middlesex County,25017,02462,42.36505287787922,-71.22184876749594,133934.47,841466.58,463839
15b24c69-a3c5-ad1a-f94c-14f3630ef974,1960-01-07,,999-70-2249,S99941954,X2215403X,Mrs.,Evelin941,Milagros256,Bogisich202,MD,Lang846,D,white,nonhispanic,F,Swampscott  Massachusetts  US,759 Bednar Quay,Leicester,Massachusetts,Worcester County,,00000,42.254288161305176,-71.9468911763722,288512.14,846175.28,33420
909fc7dd-29b4-8489-352b-0dfb33194ebc,1946-12-04,2002-09-11,999-92-7384,S99943039,X82328515X,Mr.,Jacinto644,Gus973,Blick895,,,D,white,nonhispanic,M,Maynard  Massachusetts  US,941 Christiansen Flat Suite 66,Mashpee,Massachusetts,Barnstable County,,00000,41.58112662303823,-70.49168104808732,228189.82,97106.05,94
6838a64c-1662-8907-6102-6d7808bf2317,2007-12-07,,999-79-6243,S99989486,,,Malorie969,Moriah648,Dickinson688,,,,white,nonhispanic,F,Canton  Massachusetts  US,467 Lemke Viaduct,Concord,Massachusetts,Middlesex County,,00000,42.43106356476566,-71.38567057175428,48621.04,19307.07,31461
fb478ab1-d2d9-5fe8-e0c4-1d2ecee443b8,1946-12-04,,999-53-4346,S99951486,X74380986X,Mr.,Sammy219,Adan632,Jenkins714,,,M,white,nonhispanic,M,Norton  Massachusetts  US,929 Dicki Throughway Apt 89,Mashpee,Massachusetts,Barnstable County,,00000,41.65379212300003,-70.46224923708067,115727.98,132365.89,94
699ecb01-8d42-1de3-b43e-895f9b1834d6,1962-04-04,,999-84-1394,S99976724,X79661768X,Mr.,Miles206,Nicholas495,Denesik803,,,D,white,nonhispanic,M,East Longmeadow  Massachusetts  US,645 Feeney Corner Suite 14,Pittsfield,Massachusetts,Berkshire County,25003,01201,42.47247467611926,-73.28559199031707,327122.21,644608.84,138618
c545a770-7b56-237d-d7dd-93f05bf9191a,1991-05-30,,999-83-9787,S99919241,X45350365X,Mrs.,Kizzie166,Yu876,Bergstrom287,,Hickle134,M,white,nonhispanic,F,Worcester  Massachusetts  US,127 Krajcik Arcade Unit 56,Leominster,Massachusetts,Worcester County,25027,01453,42.57403628830666,-71.85742322281276,173840.14,762922.70,88480
a3866d8b-808b-b351-857e-acba5c819cf7,1979-02-19,,999-18-5406,S99939781,X51451771X,Ms.,Herma433,Ardis509,Walter473,,,S,white,nonhispanic,F,Boston  Massachusetts  US,639 Cartwright Crossing,Worcester,Massachusetts,Worcester County,25027,01609,42.309422842193385,-71.8802734082958,442436.18,474290.83,72371
d61fc9ea-a2e9-3c0c-e553-3a303ebfa956,2003-12-18,,999-59-8493,S99918476,X82227762X,Ms.,Elicia233,Zetta950,Kuhic920,,,,white,nonhispanic,F,Plymouth  Massachusetts  US,1010 Hoppe Bypass,Worcester,Massachusetts,Worcester County,25027,01545,42.322104008578016,-71.76482852938332,96224.81,48241.34,141806
e03512d2-c699-31b8-2772-2b5f99ffdaf0,1972-07-22,,999-89-8959,S99965344,X52775478X,Mrs.,Myrta75,Randy380,Von197,,Jaskolski867,M,asian,nonhispanic,F,Busan  Busan  KR,727 Swift Forge,Sudbury,Massachusetts,Middlesex County,,00000,42.38016062872445,-71.38476218960284,680889.29,683952.32,88867
1f7029ab-5c59-1dd6-4608-379a44503a7e,2024-03-21,,999-77-6289,,,,Lorrine765,France571,Kunde533,,,,white,nonhispanic,F,Newbury  Massachusetts  US,140 Torp Plaza Apt 13,Braintree,Massachusetts,Norfolk County,25021,02184,42.202966610089746,-71.0275844360188,4693.90,0.00,87380
5bc6b903-8fcd-c8ea-8be6-bf2351e1f78a,1936-11-10,,999-99-2398,S99969098,X73952059X,Mr.,Marlon619,,Quitzon246,,,M,white,hispanic,M,Northampton  Massachusetts  US,686 Schaden Rest,Holyoke,Massachusetts,Hampden County,25013,01040,42.23142388297353,-72.6078967942437,188478.80,389463.36,156734
488bff1c-ccdc-f85f-a347-8bddf6c33568,1955-09-01,2020-12-24,999-62-2858,S99998018,X82422097X,Mr.,Lupe126,Jared66,Williamson769,,,M,white,nonhispanic,M,Everett  Massachusetts  US,386 Kulas Run,Saugus,Massachusetts,Essex County,25009,01906,42.463078470316155,-70.97466372872691,250923.73,408311.03,132251
c4c4909f-e436-536b-e4d9-e69009de73fd,1939-07-27,,999-81-7679,S99917732,X31843064X,Mr.,Theodore876,Parker433,Denesik803,,,M,asian,nonhispanic,M,Uxbridge  Massachusetts  US,1036 Farrell Divide,Somerville,Massachusetts,Middlesex County,25017,02144,42.45926323110614,-71.14235350775975,101727.83,254193.46,484804
491dd911-713e-05f2-b4a1-decaef39c3ae,2004-09-22,,999-31-4873,S99998374,X38711945X,Mr.,Ken316,Ernie189,Ebert178,,,,white,nonhispanic,M,Natick  Massachusetts  US,659 Brakus Park Apt 64,Amesbury,Massachusetts,Essex County,25009,01913,42.87131167895296,-70.93403781262445,84702.57,558218.35,104340
f2691c9a-1a27-1bbf-51b5-c85830bd18f2,1996-04-11,,999-81-6089,S99926101,X4662260X,Mr.,Hollis7,Rick943,Gaylord332,,,S,asian,nonhispanic,M,Hong Kong  Hong Kong Special Administrative Region  CN,437 Hammes Mall,Dracut,Massachusetts,Middlesex County,,00000,42.69896417148768,-71.27518637243854,70823.31,21409.75,128911
404b90e6-0a96-99d2-fe3a-95927fa6e09a,2005-05-14,,999-99-8535,S99997427,,Ms.,Kazuko67,Deanna833,Mertz280,,,,white,nonhispanic,F,Canton  Massachusetts  US,235 Boyle Dam,Springfield,Massachusetts,Hampden County,25013,01109,42.08161896311747,-72.47246949571728,4824.91,202825.44,1948
d9ef5d3d-5f65-92fa-fede-c5aa4d2f125b,1965-04-21,,999-17-4766,S99979641,X33962521X,Mrs.,Leonie332,Trinh357,Ruecker817,,Wuckert783,M,white,nonhispanic,F,Rockport  Massachusetts  US,309 Abshire Spur Unit 13,Agawam,Massachusetts,Hampden County,25013,01001,42.11356307932266,-72.71138651094117,403853.02,200012.32,56921
0f513626-2d46-1178-db47-491008ec76a3,1963-06-12,,999-90-4219,S99923265,X6469305X,Mr.,Lucio648,Melvin857,Hermann103,,,M,white,nonhispanic,M,Boston  Massachusetts  US,530 Rohan Loaf,Lenox,Massachusetts,Berkshire County,25003,01240,42.37289221989178,-73.23237553026298,162933.39,1011678.60,90668
f201fb88-915e-406b-4de5-ae097a3270f9,1955-09-01,,999-46-7041,S99966958,X76014613X,Mr.,Stuart913,Arnold338,Konopelski743,,,D,white,nonhispanic,M,Granby  Massachusetts  US,1071 Yundt Approach,Saugus,Massachusetts,Essex County,25009,01906,42.495575716179545,-71.02498887462237,70634.48,211547.59,132251
25f8de45-8c01-1404-2de3-3ff28059fffd,2000-01-31,,999-21-6585,S99988897,X56020168X,Ms.,Marylynn944,,Quitzon246,,,,white,nonhispanic,F,Medford  Massachusetts  US,754 Hackett Course,Brockton,Massachusetts,Plymouth County,25023,02302,42.111396093503586,-71.02352830712046,67862.86,174029.69,92679
3c0acc7b-7f6e-f130-a86e-99fc3ff1a620,1969-09-29,,999-90-4025,S99989377,X63878948X,Mr.,Filiberto722,Hyman89,Raynor401,,,M,white,nonhispanic,M,Burlington  Massachusetts  US,882 Larkin Landing,Amesbury,Massachusetts,Essex County,25009,01913,42.83552779262933,-70.98758452712848,151755.61,26494.48,166788
b4cad395-ed6d-6de4-aa9d-c5a9d6dda1e2,2011-07-17,,999-61-1480,,,,Terese90,Tai836,Bernier607,,,,white,nonhispanic,F,West Boylston  Massachusetts  US,908 Waters Port,Leominster,Massachusetts,Worcester County,25027,01420,42.62652256766648,-71.79760627765972,14716.01,154845.98,66584
fca67b2e-5a90-b3df-0a00-15564834e477,1956-01-14,,999-90-8496,S99969033,X15319792X,Mr.,Cliff504,,Flatley871,,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,228 Nitzsche Mews,South Hadley,Massachusetts,Hampshire County,,00000,42.28859855770131,-72.58367120921166,171005.17,199900.40,69680
d45d6e91-94e0-fa36-ca99-0693baf517d6,1962-07-19,,999-79-6400,S99939105,X34863257X,Mr.,Ezra452,,Champlin946,,,W,asian,nonhispanic,M,Seoul  Seoul  KR,406 Veum Loaf Suite 22,Tyngsborough,Massachusetts,Middlesex County,,00000,42.65359677613549,-71.39664688582918,102151.20,142973.49,163851
f7c82992-b397-769e-052a-573eb5607bd8,1979-08-14,,999-91-8704,S99914733,X2131710X,Ms.,Allene83,Alita891,Rau926,,,S,white,nonhispanic,F,Andover  Massachusetts  US,349 Kihn Viaduct Apt 99,Lynn,Massachusetts,Essex County,25009,01902,42.45855755699742,-70.89550659420466,150109.16,310897.05,141414
d3787410-0c1e-0073-c4a4-7b95aa2ca78d,1968-09-29,2023-02-10,999-28-7911,S99993509,X47035935X,Mrs.,Velda682,,Goodwin327,,Koch169,D,black,hispanic,F,Bourne  Massachusetts  US,1001 Abernathy Mill,Haverhill,Massachusetts,Essex County,25009,01832,42.82896697994183,-71.09963681502252,217189.62,136035.41,91609
1fa0abd8-05eb-1d9c-bd15-9ae7d591c713,1959-12-19,,999-29-1359,S99995331,X25937721X,Mr.,Ezra452,Carol737,Rosenbaum794,,,M,asian,nonhispanic,M,Somerville  Massachusetts  US,693 Ratke Underpass Unit 6,Woburn,Massachusetts,Middlesex County,25017,01890,42.46437880090358,-71.13567203549677,346623.77,33265.71,105618
d6ee102f-866f-ec6f-17df-015631c71de9,1951-12-07,,999-61-9220,S99919793,X86592562X,Mrs.,Rudy520,Fumiko79,Lang846,,Pollich983,M,white,nonhispanic,F,Middleborough  Massachusetts  US,679 Sauer Tunnel,Middleborough,Massachusetts,Plymouth County,,00000,41.91187040996217,-70.89278545819536,335420.18,792666.06,124537
2da6a59b-d1be-b5a2-5e70-48c7db89a7c0,2004-10-30,,999-15-1566,S99931760,X12328076X,Mr.,Caleb651,Roosevelt595,Fay398,,,,white,nonhispanic,M,Burlington  Massachusetts  US,363 Thiel Rue,Provincetown,Massachusetts,Barnstable County,25001,02657,42.034596907245515,-70.1522932082492,133642.48,956904.88,27957
f446ac76-8201-2f00-2c70-b234bcd6f5d6,1968-09-29,,999-77-6042,S99957251,X12550024X,Mrs.,Tova870,Waltraud488,Emmerich580,,Franecki195,D,black,hispanic,F,Haverhill  Massachusetts  US,821 Wolff View,Haverhill,Massachusetts,Essex County,25009,01835,42.77668013567229,-71.04363522503175,549462.70,186237.44,91609
4790ffeb-924e-cacc-3e3e-c752aee37827,2008-08-10,,999-30-2628,S99964526,,,Linwood526,Randall756,Powlowski563,,,,white,nonhispanic,M,Duxbury  Massachusetts  US,929 Kirlin Parade Suite 82,Shrewsbury,Massachusetts,Worcester County,,00000,42.31682400110589,-71.73225480561617,53700.04,0.00,40182
dbb59b5b-642e-c9b0-6787-12b69b4ff1f6,1924-12-03,2005-08-28,999-71-9216,S99920842,X35579448X,Ms.,Claris36,Vernia453,Leffler128,,,S,white,nonhispanic,F,Holbrook  Massachusetts  US,814 Koss Lane Unit 96,Southwick,Massachusetts,Hampden County,,00000,42.06591784883894,-72.74681382718796,1015121.87,586874.80,43634
b36578e3-29e7-3496-5fa3-59bf52d8a372,1967-10-16,,999-42-7015,S99959347,X76172447X,Mr.,Arturo47,,Hegmann834,,,M,black,nonhispanic,M,Pittsfield  Massachusetts  US,584 O'Connell Bypass,Attleboro,Massachusetts,Bristol County,44007,02861,41.93943071933186,-71.29153322855633,360212.35,8661.34,115082
8fe2ee0f-27ae-37f8-987a-5126e89b827c,1984-10-03,,999-44-8862,S99970050,X25143870X,Mr.,Rick943,Tim88,Wisozk929,,,S,white,nonhispanic,M,Falmouth  Massachusetts  US,575 Aufderhar Dale,Brockton,Massachusetts,Plymouth County,25023,02301,42.04614661278008,-70.98606593543423,77427.87,6437.64,41733
42dae257-f944-0cd1-d7c4-9880a5b45c6d,1946-03-22,,999-67-2213,S99960033,X54431997X,Mr.,Tony646,,Borer986,,,M,white,nonhispanic,M,Auburn  Massachusetts  US,515 VonRueden Underpass,Weymouth,Massachusetts,Norfolk County,25021,02188,42.196439833465035,-70.99575697824847,182990.48,194792.06,120938
b5fbf7b4-8c2c-52f5-d0af-d8de281ff9b4,2014-03-07,,999-48-6201,,,,Arnoldo445,,Kemmer137,,,,black,nonhispanic,M,Plymouth  Massachusetts  US,737 Franecki Gardens Unit 26,Rockland,Massachusetts,Plymouth County,,00000,42.08306762878681,-70.88496738436505,11456.63,23710.04,38688
eaf8a2c8-3e09-dfe5-a828-c139e78b48df,1998-07-27,,999-65-6455,S99911356,X11893367X,Mr.,Riley817,Kasey569,Abbott774,,,,white,nonhispanic,M,Hingham  Massachusetts  US,352 Herman Rue Apt 26,North Adams,Massachusetts,Berkshire County,25003,01247,42.693376241095294,-73.12553499851653,55382.94,29477.96,34506
a8deb6f1-c1da-b680-8dd2-e12b89fa7721,1982-03-31,,999-66-9867,S99915414,X12079976X,Ms.,Dulce933,,Stokes453,,,S,white,nonhispanic,F,Somerville  Massachusetts  US,907 Botsford Key Unit 33,Cheshire,Massachusetts,Berkshire County,25003,01225,42.52782220703372,-73.19898443632172,293270.92,119254.77,51609
f7af6f8a-3a9a-b607-5a63-af75e9effba1,2007-01-25,,999-96-7058,S99918066,,Ms.,Violette536,Yasuko490,Hessel84,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,225 Yundt Street Suite 66,Taunton,Massachusetts,Bristol County,25005,02780,41.89721500642079,-71.14176615585343,62107.59,13430.11,136330
5aa0741b-eea4-5450-9a16-c25f355931c8,1958-03-30,,999-45-8862,S99943731,X37590147X,Ms.,Madison727,Shawnta32,Feeney44,,,S,white,nonhispanic,F,Southbridge  Massachusetts  US,107 Russel Forge Apt 21,Norton,Massachusetts,Bristol County,,00000,41.92052219716292,-71.1655528146897,18444.04,1107783.98,22488
94e97d9b-e77d-ccd3-a24c-c6c5c0750e40,2013-07-29,,999-17-5296,,,,Rosa195,Berta524,Sanabria449,,,,white,hispanic,F,San Juan  Puerto Rico  PR,100 Bahringer Dale Suite 56,Beverly,Massachusetts,Essex County,25009,01915,42.55277309702858,-70.86289671177197,4794.10,39893.73,145192
e1051b07-ee28-4912-1559-a5811890cf1f,1988-03-04,,999-68-8876,S99923538,X27342947X,Mrs.,Noreen211,Floretta117,MacGyver246,,Schoen8,M,white,nonhispanic,F,Harvard  Massachusetts  US,689 Kreiger Junction Apt 2,Dighton,Massachusetts,Bristol County,,00000,41.8158751146698,-71.14205647703947,210887.02,690367.91,73337
ddbe98a8-6d73-0701-6624-0de91527b42f,1956-01-26,,999-33-6189,S99928603,X80349524X,Mrs.,Beckie79,,Hilpert278,,Goldner995,M,white,nonhispanic,F,Boston  Massachusetts  US,521 Heathcote Ville,Tyngsborough,Massachusetts,Middlesex County,,00000,42.701028195905224,-71.39806256207605,209326.04,953153.71,561932
f1db38b3-1c14-e6d3-289d-368d715a67a0,2005-04-07,,999-61-8392,S99912339,X17730800X,Mr.,Jospeh459,Courtney281,Raynor401,,,,white,nonhispanic,M,Boston  Massachusetts  US,1010 Gutkowski Gardens Unit 51,Milford,Massachusetts,Worcester County,25027,01757,42.14251746261399,-71.56674498109619,59819.31,69397.38,798987
b2efcded-9bec-87b3-9067-ecd325b30a3a,1979-08-16,,999-17-5136,S99964440,X45961086X,Mrs.,Machelle279,Artie871,Little434,,Denesik803,W,white,nonhispanic,F,Fall River  Massachusetts  US,270 Bergstrom Way Suite 2,Stoneham,Massachusetts,Middlesex County,25017,02180,42.51957263996178,-71.0703850191162,280191.37,44111.18,60987
7c69afcb-9c08-0167-5f8e-fcfe43af5840,1968-05-25,,999-61-4416,S99919334,X83123296X,Mr.,Ernesto186,Denny560,Anderson154,,,M,white,nonhispanic,M,Beverly  Massachusetts  US,855 Kessler Parade Apt 7,North Attleborough,Massachusetts,Bristol County,,00000,42.013264447757436,-71.3568079278408,136735.99,0.00,102141
cea9d2be-5954-5d19-7b09-3fe15d5ba1b1,1956-11-02,,999-11-5232,S99969900,X66278198X,Ms.,Velva240,Kandi717,Green467,,,S,white,nonhispanic,F,Revere  Massachusetts  US,129 Cummings Knoll,Westborough,Massachusetts,Worcester County,25027,01581,42.261774881879184,-71.61054132611685,181569.80,885859.93,128111
20f9774d-853f-67d7-b6b1-c08d6fddc9c0,1991-06-22,,999-41-3114,S99999045,X22166982X,Mr.,Samuel331,Shad704,Jakubowski832,,,S,other,nonhispanic,M,Taunton  Massachusetts  US,463 O'Keefe Center Suite 35,Revere,Massachusetts,Suffolk County,25025,02151,42.41548612526893,-71.02404473288921,5866.96,117164.87,1277
8ef0b4e7-33db-bfa3-6c37-0219bb2cf571,1986-04-12,,999-74-7573,S99910592,X12320477X,Mrs.,Gertrude228,Fredricka415,Considine820,,Kiehn525,M,white,nonhispanic,F,Boston  Massachusetts  US,696 Hilll Light,Revere,Massachusetts,Suffolk County,25025,02151,42.46532955756783,-70.96307193644404,528733.60,978458.34,55478
1871d3bf-072c-aabf-d872-d5355a5196be,1948-10-08,1984-03-17,999-41-4893,S99928754,X72100769X,Mr.,Francisco472,,Quintana711,,,D,white,hispanic,M,San Jose  San Jose  CR,131 Green Street Suite 60,Boston,Massachusetts,Suffolk County,25025,02121,42.3437448182958,-71.05992269321676,7039.42,183802.47,971
e6891d90-3830-8c3c-5d61-142cf5431658,1934-07-02,,999-44-8840,S99951531,X73280076X,Mr.,Elbert916,Archie818,Kris249,,,M,white,nonhispanic,M,Boston  Massachusetts  US,820 Collier Course Suite 70,Lunenburg,Massachusetts,Worcester County,25027,01462,42.60658915170235,-71.67797009506164,25198.36,850451.54,20613
